,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,is_organic
657,C1CC(C2=CC=CC=C2C1)C3=NCCN3.Cl,Inactive,0,True
659,CC(C)(C(COC1=CC=CC2=C1N(C(=O)C=C2OC)C)O)O,Inactive,0,True
670,C(CCNCCCN)CN.Cl.Cl.Cl,Inactive,0,True
672,CCCN1C2=C(C(=NC(=N2)C)N3CCN(CC3)CCC(=O)OCC)N=C1C4=CC=C(C=C4)F,Active,42,True
674,C[N+](C)(C)CC(=O)[O-].Cl,Inactive,0,True
676,C[C@H]1CCC2[C@@]13CC[C@@](C(C3)C2(C)C)(C)OC(=O)C,Inactive,0,True
688,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,Active,41,True
695,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,Inactive,0,True
696,CC1=NC(=C2C(=N1)N(C(=N2)C3=CC=CC=C3)CCCN(C)C)NCC4=CC=CC=C4,Active,42,True
706,CC(C)CCCC(C)CCCC(C)CC/C(=C/CO)/C,Inactive,0,True
709,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C,Inactive,0,True
717,C1C(C(C(CC1(C(=O)O)O)O)O)O,Inactive,0,True
727,CCCN1C2=C(C(=NC(=N2)C)N3CCCN(CC3)CC4=CC=CC=C4)N=C1C5=CC=C(C=C5)F,Active,85,True
729,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,Inactive,0,True
735,CC(CCC=C(C)C)CCOC(=O)C,Inactive,0,True
738,CCCN1C2=C(C(=NC(=N2)C)N3CCN(CC3)CC4=NC(=CC(=N4)OC)OC)N=C1C5=CC=C(C=C5)F,Active,85,True
742,COC1=CC=CC=C1N2CCNCC2.Cl,Inactive,0,True
747,CC1=CC(=O)C2=C(O1)C=C3C(=C2OC)C=CO3,Active,84,True
754,C1=CC=C(C=C1)CN=C=S,Active,40,True
756,CC(=O)OC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2,Inactive,0,True
758,CN1C2CC3CC1C(C2O)O3,Inactive,0,True
765,CCCN1C2=C(C(=NC(=N2)C)N3CCN(CC3)CCN4C=CN=C4)N=C1C5=CC=C(C=C5)F,Active,88,True
767,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,Inactive,0,True
772,COC1=CC=C(C=C1)C(=O)/C=C/C2=CC=CC=C2,Inactive,0,True
773,CC1=CCC2CC1C2(C)C,Inactive,0,True
784,C[C@@H]1[C@H]2C[C@]2(CC1=O)C(C)C,Inactive,0,True
789,C1=CC(=CN=C1)CO.C(C(C(=O)O)O)(C(=O)O)O,Inactive,0,True
794,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1.C(=C/C(=O)O)\C(=O)O,Inactive,0,True
795,CC1(C=CC2=C(O1)C=C(C3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)O)C,Active,41,True
805,CC1=CC(=C2C(=C1O)C(=O)C3=C(C=C(C(=C3C2=O)O)C)O)O,Inactive,0,True
810,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inactive,0,True
814,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)N,Inactive,0,True
816,C1=CC=C(C=C1)C(C#N)O,Inactive,0,True
830,COC1=C(C=CC=C1O)O,Inactive,0,True
835,CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)O)OC(=O)CCC,Inactive,0,True
836,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inactive,0,True
839,C/C(=C/C1=CC=CC=C1)/C=O,Inactive,0,True
